323.5756 	DATA 	Keypress: equal
324.5752 	DATA 	Keypress: equal
325.5755 	DATA 	Keypress: equal
326.5751 	DATA 	Keypress: equal
327.1122 	EXP 	stim presentation for duration 1.000. feedback duration 4.000
327.5227 	DATA 	Keypress: 1
327.5291 	EXP 	stim select
327.5755 	DATA 	Keypress: equal
328.1126 	EXP 	Hampton2006: Action=1 State=1 Rewarded=True CorrectCount=2
328.1212 	EXP 	feedback
328.5756 	DATA 	Keypress: equal
329.5750 	DATA 	Keypress: equal
330.5754 	DATA 	Keypress: equal
331.5751 	DATA 	Keypress: equal
332.1333 	EXP 	stim presentation for duration 2.000. feedback duration 2.000
332.5756 	DATA 	Keypress: equal
333.0785 	DATA 	Keypress: 2
333.0835 	EXP 	stim select
333.5753 	DATA 	Keypress: equal
334.1334 	EXP 	Hampton2006: Action=1 State=1 Rewarded=True CorrectCount=3
334.1405 	EXP 	feedback
334.5748 	DATA 	Keypress: equal
335.5743 	DATA 	Keypress: equal
336.1542 	EXP 	stim presentation for duration 1.000. feedback duration 3.000
336.5742 	DATA 	Keypress: equal
336.6970 	DATA 	Keypress: 1
336.7031 	EXP 	stim select
337.1545 	EXP 	Hampton2006: Action=1 State=1 Rewarded=True CorrectCount=4
337.1712 	EXP 	feedback
337.5742 	DATA 	Keypress: equal
338.5746 	DATA 	Keypress: equal
339.5742 	DATA 	Keypress: equal
340.1762 	EXP 	stim presentation for duration 1.000. feedback duration 2.000
340.5747 	DATA 	Keypress: equal
340.6630 	DATA 	Keypress: 1
340.6741 	EXP 	stim select
341.1763 	EXP 	Hampton2006: Action=1 State=1 Rewarded=True CorrectCount=5
341.1909 	EXP 	feedback
341.5741 	DATA 	Keypress: equal
342.5759 	DATA 	Keypress: equal
343.1947 	EXP 	stim presentation for duration 3.000. feedback duration 2.000
343.5743 	DATA 	Keypress: equal
343.7162 	DATA 	Keypress: 2
343.7264 	EXP 	stim select
344.5740 	DATA 	Keypress: equal
345.5740 	DATA 	Keypress: equal
346.1949 	EXP 	Hampton2006: Action=1 State=1 Rewarded=True CorrectCount=6
346.1949 	EXP 	Hampton2006: Reversal
346.2115 	EXP 	feedback
346.5742 	DATA 	Keypress: equal
347.5741 	DATA 	Keypress: equal
348.2299 	EXP 	stim presentation for duration 2.000. feedback duration 4.000
348.5741 	DATA 	Keypress: equal
348.8552 	DATA 	Keypress: 1
348.8631 	EXP 	stim select
349.5743 	DATA 	Keypress: equal
350.2305 	EXP 	Hampton2006: Action=1 State=0 Rewarded=True CorrectCount=0
350.2480 	EXP 	feedback
350.5741 	DATA 	Keypress: equal
351.5742 	DATA 	Keypress: equal
352.5742 	DATA 	Keypress: equal
353.5743 	DATA 	Keypress: equal
354.2672 	EXP 	stim presentation for duration 1.000. feedback duration 2.000
354.5743 	DATA 	Keypress: equal
354.7973 	DATA 	Keypress: 2
